location,book_table,name
BTM,No,4956
BTM,Yes,168
Banashankari,No,842
Banashankari,Yes,64
Banaswadi,No,656
Banaswadi,Yes,8
Bannerghatta Road,No,1531
Bannerghatta Road,Yes,99
Basavanagudi,No,668
Basavanagudi,Yes,16
Bellandur,No,1188
Bellandur,Yes,98
Brigade Road,No,1039
Brigade Road,Yes,179
Brookefield,No,584
Brookefield,Yes,74
Church Street,No,387
Church Street,Yes,182
Commercial Street,No,370
Cunningham Road,No,316
Cunningham Road,Yes,175
Domlur,No,441
Domlur,Yes,55
Ejipura,No,439
Electronic City,No,1159
Electronic City,Yes,99
Frazer Town,No,719
Frazer Town,Yes,8
HSR,No,2306
HSR,Yes,217
Indiranagar,No,1629
Indiranagar,Yes,454
JP Nagar,No,1920
JP Nagar,Yes,315
Jayanagar,No,1647
Jayanagar,Yes,279
Kalyan Nagar,No,704
Kalyan Nagar,Yes,149
Kammanahalli,No,599
Kammanahalli,Yes,49
Koramangala 1st Block,No,1188
Koramangala 1st Block,Yes,50
Koramangala 4th Block,No,695
Koramangala 4th Block,Yes,322
Koramangala 5th Block,No,1812
Koramangala 5th Block,Yes,692
Koramangala 6th Block,No,1043
Koramangala 6th Block,Yes,113
Koramangala 7th Block,No,1017
Koramangala 7th Block,Yes,164
Koramangala 8th Block,No,303
Koramangala 8th Block,Yes,17
Lavelle Road,No,297
Lavelle Road,Yes,232
MG Road,No,571
MG Road,Yes,347
Malleshwaram,No,636
Malleshwaram,Yes,89
Marathahalli,No,1680
Marathahalli,Yes,166
New BEL Road,No,593
New BEL Road,Yes,56
Old Airport Road,No,387
Old Airport Road,Yes,59
Rajajinagar,No,550
Rajajinagar,Yes,41
Residency Road,No,524
Residency Road,Yes,151
Richmond Road,No,696
Richmond Road,Yes,116
Sarjapur Road,No,909
Sarjapur Road,Yes,156
Shanti Nagar,No,453
Shanti Nagar,Yes,58
Shivajinagar,No,476
Shivajinagar,Yes,23
St. Marks Road,No,228
St. Marks Road,Yes,124
Ulsoor,No,846
Ulsoor,Yes,177
Whitefield,No,1891
Whitefield,Yes,253
others,No,4352
others,Yes,355
