location,online_order,name
BTM,No,1792
BTM,Yes,3332
Banashankari,No,397
Banashankari,Yes,509
Banaswadi,No,321
Banaswadi,Yes,343
Bannerghatta Road,No,706
Bannerghatta Road,Yes,924
Basavanagudi,No,243
Basavanagudi,Yes,441
Bellandur,No,525
Bellandur,Yes,761
Brigade Road,No,553
Brigade Road,Yes,665
Brookefield,No,241
Brookefield,Yes,417
Church Street,No,226
Church Street,Yes,343
Commercial Street,No,228
Commercial Street,Yes,142
Cunningham Road,No,168
Cunningham Road,Yes,323
Domlur,No,261
Domlur,Yes,235
Ejipura,No,219
Ejipura,Yes,220
Electronic City,No,681
Electronic City,Yes,577
Frazer Town,No,295
Frazer Town,Yes,432
HSR,No,603
HSR,Yes,1920
Indiranagar,No,748
Indiranagar,Yes,1335
JP Nagar,No,917
JP Nagar,Yes,1318
Jayanagar,No,562
Jayanagar,Yes,1364
Kalyan Nagar,No,355
Kalyan Nagar,Yes,498
Kammanahalli,No,268
Kammanahalli,Yes,380
Koramangala 1st Block,No,385
Koramangala 1st Block,Yes,853
Koramangala 4th Block,No,459
Koramangala 4th Block,Yes,558
Koramangala 5th Block,No,890
Koramangala 5th Block,Yes,1614
Koramangala 6th Block,No,457
Koramangala 6th Block,Yes,699
Koramangala 7th Block,No,395
Koramangala 7th Block,Yes,786
Koramangala 8th Block,No,108
Koramangala 8th Block,Yes,212
Lavelle Road,No,323
Lavelle Road,Yes,206
MG Road,No,544
MG Road,Yes,374
Malleshwaram,No,310
Malleshwaram,Yes,415
Marathahalli,No,734
Marathahalli,Yes,1112
New BEL Road,No,257
New BEL Road,Yes,392
Old Airport Road,No,230
Old Airport Road,Yes,216
Rajajinagar,No,286
Rajajinagar,Yes,305
Residency Road,No,427
Residency Road,Yes,248
Richmond Road,No,565
Richmond Road,Yes,247
Sarjapur Road,No,336
Sarjapur Road,Yes,729
Shanti Nagar,No,289
Shanti Nagar,Yes,222
Shivajinagar,No,354
Shivajinagar,Yes,145
St. Marks Road,No,185
St. Marks Road,Yes,167
Ulsoor,No,395
Ulsoor,Yes,628
Whitefield,No,1005
Whitefield,Yes,1139
others,No,2009
others,Yes,2698
